periodo_id,label,start_year,end_year,abr_code,abr_code_legacy,abr_code_legacy_additional,additional_label1,additional_label2,additional_label3,additional_label4,additional_label5,additional_label6,additional_label7,additional_label8,english_label1,english_label2
,Krijt,-145000000,-66000000,,,,,,,,,,,,,
,Onder Krijt,-145000000,-100500000,,,,Vroeg Krijt,,,,,,,,,
,Boven Krijt,-100500000,-66000000,,,,Laat Krijt,,,,,,,,,
,Paleoceen,-66000000,-56000000,,,,Paleocene,,,,,,,,,
,Eoceen,-56000000,-33900000,,,,Eocene,,,,,,,,,
,Oligoceen,-33900000,-23030000,,,,Oligocene,,,,,,,,,
,Mioceen,-23030000,-5333000,,,,Miocene,,,,,,,,,
,Plioceen,-5333000,-2588000,,,,Pliocene,,,,,,,,,
,Pleistoceen,-2580000,-115000,,,,Pleistocene,,,,,,,,,
,Vroeg Pleistoceen,-2580000,-463000,,,,Pleistoceen Vroeg,Vroege Pleistoceen,Vroeg Pleistocene,,,,,,,
p0qhb66rrc7,Prehistorie,-1000000,-13,PREH,,,Prehistorisch,,,,,,,,Prehistory,
p0qhb668qvz,Steentijd,-1000000,-2001,STEEN,,,Steentijden,,,,,,,,Stone Age,Stone
p0qhb66qzp7,Vroeg Paleolithicum,-1000000,-350001,PALEOV,,,Oud Paleolithicum,Paleolithicum Vroeg,Vroeg Paleolithisch,vroege paleolithicum,vroege paleolitische,,,,,
p0pqptcjxw3,Paleolithicum,-998050,-8799,PALEO,,,Paleolithisch,Vroege steentijd,paleolithische,vroeg steentijd,steentijd vroeg,oude steentijd,,,Palaeolithic,
,Acheuléen,-748000,-48000,,,,Acheulien,Acheuleen,,,,,,,,
,Midden Pleistoceen,-463000,-124000,,,,Pleistoceen Midden,Midden Pleistocene,,,,,,,,
,Elsterien,-463000,-416000,,,,,,,,,,,,,
,Holsteinien,-416000,-384000,,,,,,,,,,,,,
p0qhb66jd47,Midden Paleolithicum,-350000,-35001,PALEOM,,,Paleolithicum midden,midden paleolithisch,,,,,,,,
,Belvédère,-336000,-322000,,,,Belvedere,Belvédère Interglaciaal,belvedere interglaciaal,,,,,,,
,Moustérien,-298000,-28000,,,,Mousterien,,,,,,,,,
,Oostermeer glaciaal,-241000,-236000,,,,Oostermeer,,,,,,,,,
,Saalien,-236000,-124000,,,,,,,,,,,,,
,Micoquien,-128000,-68000,,,,,,,,,,,,,
,Eemien,-124000,-114000,,,,,,,,,,,,,
,Laat Pleistoceen,-124000,-115000,,,,Pleistoceen Laat,Laat Pleistocene,,,,,,,,
,Weichselien,-114000,-9700,,,,Laatste glaciaal,laatste ijstijd,ijstijd,,,,,,,
,Pleniglaciaal,-71000,-12650,,,,Pleni Glaciaal,Pleniglaciale,,,,,,,,
,Oerel,-55700,-53400,,,,,,,,,,,,,
,Schalkholz,-53400,-71000,,,,,,,,,,,,,
,Glinde,-49000,-46000,,,,,,,,,,,,,
,Aurignacien,-38000,-24000,,,,,,,,,,,,,
,Hengelo,-36700,-34900,,,,,,,,,,,,,
p0qhb66wsb3,Laat Paleolithicum,-35000,-8801,PALEOL,,,Jong Paleolithicum,Paleolithicum laat,laat paleolithisch,late paleolithicum,late paleolithische,paleolithicum jong,jonge paleolithicum,,,
p0qhb66hskp,Laat Paleolithicum A,-35000,-18001,PALEOLA,,,Paleolithicum laat A,,,,,,,,,
,Châtelperronien,-31000,-25000,,,,Chatelperronien,,,,,,,,,
,Denekamp,-30000,-26000,,,,,,,,,,,,,
,Gravettien,-26000,-20000,,,,,,,,,,,,,
,Solutréen,-20000,-14500,,,,Solutreen,,,,,,,,,
p0qhb66mncj,Laat Paleolithicum B,-18000,-8801,PALEOLB,,,Paleolithicum laat B,,,,,,,,,
,Magdalénien,-16000,-8000,,,,Magdalenien,,,,,,,,,
,Hamburgcultuur,-13000,-10000,,,,Hamburg,Hamburg cultuur,,,,,,,,
,Oudste Dryas,-13000,-12650,,,,,,,,,,,,,
,Laatglaciaal,-12650,-9650,,,,Laat Glaciaal,Laatglaciale,Laat Glaciale,,,,,,,
,Bølling-Allerød,-12650,-10850,,,,Bolling-allerod,Bølling - Allerød,Bolling - allerod,,,,,,,
,Bølling-interstadiaal,-12650,-12000,,,,Bølling interstadiaal,Bølling,Bolling,Bøllinginterstadiaal,,,,,,
,Oude Dryas,-12000,-11900,,,,Vroege Dryas,,,,,,,,,
,Allerød-interstadiaal,-11900,-10850,,,,Allerød interstadiaal,Allerød,Allerod,,,,,,,
,Ahrensburgcultuur,-11200,-9500,,,,Ahrensburg,Ahrensburg cultuur,,,,,,,,
,Creswell-cultuur,-11000,-9800,,,,Cresswell,,,,,,,,,
,Jonge Dryas,-10850,-9650,,,,Late Dryas,,,,,,,,,
,Tjongercultuur,-10000,-9000,,,,Tjonger,Federmessercultuur,Federmesser,,,,,,,
,Holoceen,-9700,2000,,,,Alluvium,Holocene,,,,,,,,
,Brommecultuur,-9700,-9000,,,,Bromme,,,,,,,,,
,Preboreaal,-9650,-8640,,,,Preboreale,,,,,,,,,
p0qhb66hzfs,Mesolithicum,-8800,-5301,MESO,,,Mesolithisch,Midden steentijd,,,,,,,Mesolithic,
